NSS 69th round: List of districts in India,,,
,,,
st,State Name,dc,District Name
28,ANDHRA PRADESH,01,Adilabad
09,UTTAR PRADESH,15,Agra
24,GUJARAT,07,Ahmadabad
27,MAHARASHTRA,26,Ahmadnagar
15,MIZORAM,03,Aizawl
08,RAJASTHAN,21,Ajmer
27,MAHARASHTRA,05,Akola
32,KERALA,11,Alappuzha
09,UTTAR PRADESH,12,Aligarh
23,MADHYA PRADESH,49,Alirajpur
09,UTTAR PRADESH,45,Allahabad
05,UTTARAKHAND,09,Almora
08,RAJASTHAN,06,Alwar
06,HARYANA,02,Ambala
09,UTTAR PRADESH,48,Ambedkar Nagar
27,MAHARASHTRA,07,Amravati
24,GUJARAT,13,Amreli
03,PUNJAB,02,Amritsar
24,GUJARAT,15,Anand
28,ANDHRA PRADESH,22,Anantapur
01,JAMMU & KASHMIR,06,Anantnag
12,ARUNACHAL PRADESH,14,Anjaw
21,ORISSA,15,Anugul
23,MADHYA PRADESH,47,Anuppur
10,BIHAR,07,Araria
33,TAMIL NADU,17,Ariyalur
10,BIHAR,38,Arwal
23,MADHYA PRADESH,46,Ashoknagar
09,UTTAR PRADESH,32,Auraiya
10,BIHAR,34,Aurangabad
27,MAHARASHTRA,19,Aurangabad
09,UTTAR PRADESH,61,Azamgarh
01,JAMMU & KASHMIR,04,Badgam
29,KARNATAKA,02,Bagalkot
05,UTTARAKHAND,08,Bageshwar
09,UTTAR PRADESH,08,Baghpat
09,UTTAR PRADESH,50,Bahraich
18,ASSAM,25,Baksa
23,MADHYA PRADESH,45,Balaghat
21,ORISSA,24,Balangir
21,ORISSA,08,Baleshwar
09,UTTAR PRADESH,63,Ballia
09,UTTAR PRADESH,52,Balrampur
24,GUJARAT,02,Banas Kantha
09,UTTAR PRADESH,40,Banda
01,JAMMU & KASHMIR,22,Bandipora
29,KARNATAKA,20,Bangalore
29,KARNATAKA,21,Bangalore Rural
10,BIHAR,23,Banka
19,WEST BENGAL,13,Bankura
08,RAJASTHAN,28,Banswara
09,UTTAR PRADESH,46,Barabanki
01,JAMMU & KASHMIR,02,Baramula
08,RAJASTHAN,31,Baran *
19,WEST BENGAL,09,Barddhaman
09,UTTAR PRADESH,20,Bareilly
21,ORISSA,01,Bargarh  *
08,RAJASTHAN,17,Barmer
03,PUNJAB,19,Barnala
18,ASSAM,05,Barpeta
23,MADHYA PRADESH,28,Barwani *
22,CHHATTISGARH,15,Bastar
09,UTTAR PRADESH,55,Basti
03,PUNJAB,14,Bathinda
21,ORISSA,22,Baudh  *
10,BIHAR,20,Begusarai
29,KARNATAKA,01,Belgaum
29,KARNATAKA,12,Bellary
23,MADHYA PRADESH,35,Betul
21,ORISSA,09,Bhadrak  *
10,BIHAR,22,Bhagalpur
27,MAHARASHTRA,10,Bhandara
08,RAJASTHAN,07,Bharatpur
24,GUJARAT,21,Bharuch
24,GUJARAT,14,Bhavnagar
08,RAJASTHAN,24,Bhilwara
23,MADHYA PRADESH,03,Bhind
06,HARYANA,13,Bhiwani
10,BIHAR,29,Bhojpur
23,MADHYA PRADESH,32,Bhopal
27,MAHARASHTRA,27,Bid
29,KARNATAKA,05,Bidar
22,CHHATTISGARH,18,Bijapur
29,KARNATAKA,03,Bijapur
09,UTTAR PRADESH,03,Bijnor
08,RAJASTHAN,03,Bikaner
02,HIMACHAL PRADESH,08,Bilaspur
22,CHHATTISGARH,07,Bilaspur
19,WEST BENGAL,08,Birbhum
14,MANIPUR,04,Bishnupur
20,JHARKHAND,13,Bokaro *
18,ASSAM,04,Bongaigaon
09,UTTAR PRADESH,19,Budaun
09,UTTAR PRADESH,11,Bulandshahar
27,MAHARASHTRA,04,Buldana
08,RAJASTHAN,23,Bundi
23,MADHYA PRADESH,48,Burhanpur
10,BIHAR,30,Buxar *
18,ASSAM,21,Cachar
29,KARNATAKA,27,Chamarajanagar *
02,HIMACHAL PRADESH,01,Chamba
05,UTTARAKHAND,02,Chamoli
05,UTTARAKHAND,10,Champawat
15,MIZORAM,04,Champhai *
09,UTTAR PRADESH,66,Chandauli *
14,MANIPUR,09,Chandel
04,CHANDIGARH,01,Chandigarh
27,MAHARASHTRA,13,Chandrapur
12,ARUNACHAL PRADESH,12,Changlang
20,JHARKHAND,03,Chatra *
23,MADHYA PRADESH,09,Chhatarpur
23,MADHYA PRADESH,43,Chhindwara
29,KARNATAKA,29,Chikkaballapura
29,KARNATAKA,17,Chikmagalur
18,ASSAM,24,Chirag
29,KARNATAKA,13,Chitradurga
09,UTTAR PRADESH,41,Chitrakoot *
08,RAJASTHAN,29,Chittaurgarh
28,ANDHRA PRADESH,23,Chittoor
14,MANIPUR,03,Churachandpur
08,RAJASTHAN,04,Churu
33,TAMIL NADU,12,Coimbatore
33,TAMIL NADU,18,Cuddalore
28,ANDHRA PRADESH,20,Cuddapah
21,ORISSA,12,Cuttack
26,DADRA & NAGAR HAVELI,01,Dadra & Nagar Haveli
19,WEST BENGAL,05,Dakshin Dinajpur *
29,KARNATAKA,24,Dakshina Kannada
25,DAMAN & DIU,02,Daman
23,MADHYA PRADESH,12,Damoh
22,CHHATTISGARH,16,Daskin Bastar Dantewada
10,BIHAR,13,Darbhanga
19,WEST BENGAL,01,Darjiling
18,ASSAM,08,Darrang
23,MADHYA PRADESH,05,Datia
08,RAJASTHAN,11,Dausa *
29,KARNATAKA,14,Davanagere
21,ORISSA,04,Debagarh  *
05,UTTARAKHAND,05,Dehradun
20,JHARKHAND,07,Deoghar
09,UTTAR PRADESH,60,Deoria
23,MADHYA PRADESH,23,Dewas
16,TRIPURA,03,Dhalai  *
22,CHHATTISGARH,13,Dhamtari *
20,JHARKHAND,12,Dhanbad
23,MADHYA PRADESH,25,Dhar
33,TAMIL NADU,05,Dharmapuri
29,KARNATAKA,09,Dharwad
08,RAJASTHAN,08,Dhaulpur
18,ASSAM,13,Dhemaji
21,ORISSA,14,Dhenkanal
18,ASSAM,02,Dhubri
27,MAHARASHTRA,02,Dhule
12,ARUNACHAL PRADESH,10,Dibang Valley
18,ASSAM,15,Dibrugarh
13,NAGALAND,06,Dimapur *
33,TAMIL NADU,13,Dindigul
23,MADHYA PRADESH,41,Dindori *
25,DAMAN & DIU,01,Diu
01,JAMMU & KASHMIR,09,Doda
24,GUJARAT,18,Dohad  *
20,JHARKHAND,11,Dumka
08,RAJASTHAN,27,Dungarpur
22,CHHATTISGARH,10,Durg
07,DELHI,04,East
11,SIKKIM,04,East
17,MEGHALAYA,02,East Garo Hills
28,ANDHRA PRADESH,14,East Godavari
12,ARUNACHAL PRADESH,03,East Kameng
17,MEGHALAYA,06,East Khasi Hills
23,MADHYA PRADESH,29,East Nimar
12,ARUNACHAL PRADESH,08,East Siang
32,KERALA,08,Ernakulam
33,TAMIL NADU,10,Erode
09,UTTAR PRADESH,17,Etah
09,UTTAR PRADESH,31,Etawah
09,UTTAR PRADESH,47,Faizabad
06,HARYANA,19,Faridabad
03,PUNJAB,13,Faridkot
09,UTTAR PRADESH,29,Farrukhabad
06,HARYANA,10,Fatehabad *
03,PUNJAB,08,Fatehgarh Sahib *
09,UTTAR PRADESH,42,Fatehpur
09,UTTAR PRADESH,16,Firozabad
03,PUNJAB,11,Firozpur
29,KARNATAKA,08,Gadag *
27,MAHARASHTRA,12,Gadchiroli
21,ORISSA,20,Gajapati  *
01,JAMMU & KASHMIR,19,Ganderbal
24,GUJARAT,06,Gandhinagar
08,RAJASTHAN,01,Ganganagar
21,ORISSA,19,Ganjam
20,JHARKHAND,01,Garhwa
05,UTTARAKHAND,06,Garhwal
09,UTTAR PRADESH,10,Gautam Buddha Nagar *
10,BIHAR,35,Gaya
09,UTTAR PRADESH,09,Ghaziabad
09,UTTAR PRADESH,65,Ghazipur
20,JHARKHAND,06,Giridih
18,ASSAM,03,Goalpara
20,JHARKHAND,08,Godda
18,ASSAM,18,Golaghat
09,UTTAR PRADESH,53,Gonda
27,MAHARASHTRA,11,Gondiya *
10,BIHAR,15,Gopalganj
09,UTTAR PRADESH,58,Gorakhpur
29,KARNATAKA,04,Gulbarga
20,JHARKHAND,16,Gumla
23,MADHYA PRADESH,07,Guna
28,ANDHRA PRADESH,17,Guntur
03,PUNJAB,01,Gurdaspur
06,HARYANA,18,Gurgaon
18,ASSAM,26,Guwahati
23,MADHYA PRADESH,04,Gwalior
18,ASSAM,23,Hailakandi
02,HIMACHAL PRADESH,06,Hamirpur
09,UTTAR PRADESH,38,Hamirpur
08,RAJASTHAN,02,Hanumangarh *
19,WEST BENGAL,16,Haora
23,MADHYA PRADESH,36,Harda *
09,UTTAR PRADESH,25,Hardoi
05,UTTARAKHAND,13,Hardwar
29,KARNATAKA,23,Hassan
09,UTTAR PRADESH,13,Hathras *
29,KARNATAKA,11,Haveri *
20,JHARKHAND,04,Hazaribagh
27,MAHARASHTRA,16,Hingoli *
06,HARYANA,12,Hisar
23,MADHYA PRADESH,37,Hoshangabad
03,PUNJAB,05,Hoshiarpur
19,WEST BENGAL,12,Hugli
32,KERALA,09,Idukki
14,MANIPUR,07,Imphal East *
14,MANIPUR,06,Imphal West
23,MADHYA PRADESH,26,Indore
23,MADHYA PRADESH,39,Jabalpur
21,ORISSA,11,Jagatsinghapur  *
17,MEGHALAYA,07,Jaintia Hills
08,RAJASTHAN,12,Jaipur
08,RAJASTHAN,16,Jaisalmer
21,ORISSA,13,Jajapur  *
03,PUNJAB,04,Jalandhar
09,UTTAR PRADESH,35,Jalaun
27,MAHARASHTRA,03,Jalgaon
27,MAHARASHTRA,18,Jalna
08,RAJASTHAN,18,Jalor
19,WEST BENGAL,02,Jalpaiguri
01,JAMMU & KASHMIR,13,Jammu
24,GUJARAT,10,Jamnagar
20,JHARKHAND,21,Jamtara
10,BIHAR,37,Jamui *
22,CHHATTISGARH,06,Janjgir - Champa*
22,CHHATTISGARH,03,Jashpur *
09,UTTAR PRADESH,64,Jaunpur
10,BIHAR,33,Jehanabad
23,MADHYA PRADESH,24,Jhabua
06,HARYANA,15,Jhajjar *
08,RAJASTHAN,32,Jhalawar
09,UTTAR PRADESH,36,Jhansi
21,ORISSA,02,Jharsuguda  *
08,RAJASTHAN,05,Jhunjhunun
06,HARYANA,09,Jind
08,RAJASTHAN,15,Jodhpur
18,ASSAM,17,Jorhat
24,GUJARAT,12,Junagadh
09,UTTAR PRADESH,06,Jyotiba Phule Nagar *
24,GUJARAT,01,Kachchh
10,BIHAR,31,Kaimur (Bhabua)*
06,HARYANA,05,Kaithal
21,ORISSA,26,Kalahandi
18,ASSAM,06,Kamrup
33,TAMIL NADU,03,Kancheepuram
21,ORISSA,21,Kandhamal
02,HIMACHAL PRADESH,02,Kangra
22,CHHATTISGARH,14,Kanker *
09,UTTAR PRADESH,30,Kannauj *
33,TAMIL NADU,30,Kanniyakumari
32,KERALA,02,Kannur
09,UTTAR PRADESH,33,Kanpur Dehat
09,UTTAR PRADESH,34,Kanpur Nagar
03,PUNJAB,03,Kapurthala
34,PONDICHERRY,04,Karaikal
08,RAJASTHAN,09,Karauli *
18,ASSAM,19,Karbi Anglong
01,JAMMU & KASHMIR,08,Kargil
18,ASSAM,22,Karimganj
28,ANDHRA PRADESH,03,Karimnagar
06,HARYANA,06,Karnal
33,TAMIL NADU,14,Karur  *
32,KERALA,01,Kasaragod
09,UTTAR PRADESH,71,Kashiramnagar
01,JAMMU & KASHMIR,14,Kathua
10,BIHAR,10,Katihar
23,MADHYA PRADESH,38,Katni *
09,UTTAR PRADESH,44,Kaushambi *
22,CHHATTISGARH,08,Kawardha *
21,ORISSA,10,Kendrapara *
21,ORISSA,06,Kendujhar
10,BIHAR,21,Khagaria
28,ANDHRA PRADESH,10,Khammam
24,GUJARAT,16,Kheda
09,UTTAR PRADESH,23,Kheri
21,ORISSA,17,Khordha  *
20,JHARKHAND,24,Khunti
02,HIMACHAL PRADESH,12,Kinnaur
13,NAGALAND,09,Kiphire
10,BIHAR,08,Kishanganj
01,JAMMU & KASHMIR,16,Kishtwar
19,WEST BENGAL,03,Koch Bihar
29,KARNATAKA,25,Kodagu
20,JHARKHAND,05,Kodarma *
13,NAGALAND,07,Kohima
18,ASSAM,01,Kokrajhar
29,KARNATAKA,19,Kolar
15,MIZORAM,02,Kolasib *
27,MAHARASHTRA,34,Kolhapur
32,KERALA,13,Kollam
29,KARNATAKA,07,Koppal
21,ORISSA,29,Koraput
22,CHHATTISGARH,05,Korba *
22,CHHATTISGARH,01,Koriya *
08,RAJASTHAN,30,Kota
32,KERALA,10,Kottayam
32,KERALA,04,Kozhikode
28,ANDHRA PRADESH,16,Krishna
33,TAMIL NADU,31,Krishnagiri
01,JAMMU & KASHMIR,20,Kulgam
02,HIMACHAL PRADESH,04,Kullu
01,JAMMU & KASHMIR,01,Kupwara
28,ANDHRA PRADESH,21,Kurnool
06,HARYANA,04,Kurukshetra
12,ARUNACHAL PRADESH,15,Kurungkumey
09,UTTAR PRADESH,59,Kushinagar *
02,HIMACHAL PRADESH,03,Lahul & Spiti
18,ASSAM,12,Lakhimpur
10,BIHAR,25,Lakhisarai *
31,LAKSHADWEEP,01,Lakshadweep
09,UTTAR PRADESH,37,Lalitpur
20,JHARKHAND,19,Latehar
27,MAHARASHTRA,28,Latur
15,MIZORAM,07,Lawngtlai
01,JAMMU & KASHMIR,07,Leh (Ladakh)
20,JHARKHAND,15,Lohardaga
12,ARUNACHAL PRADESH,11,Lohit
13,NAGALAND,10,Longleng
12,ARUNACHAL PRADESH,16,Lower Dibang Valley
12,ARUNACHAL PRADESH,05,Lower Subansiri
09,UTTAR PRADESH,27,Lucknow
03,PUNJAB,09,Ludhiana
15,MIZORAM,06,Lunglei
10,BIHAR,11,Madhepura
10,BIHAR,05,Madhubani
33,TAMIL NADU,24,Madurai
22,CHHATTISGARH,12,Mahasamund *
28,ANDHRA PRADESH,07,Mahbubnagar
06,HARYANA,16,Mahendragarh
24,GUJARAT,04,Mahesana
09,UTTAR PRADESH,39,Mahoba *
09,UTTAR PRADESH,57,Mahrajganj
09,UTTAR PRADESH,18,Mainpuri
32,KERALA,05,Malappuram
19,WEST BENGAL,06,Maldah
21,ORISSA,30,Malkangiri  *
15,MIZORAM,01,Mamit *
02,HIMACHAL PRADESH,05,Mandi
23,MADHYA PRADESH,42,Mandla
23,MADHYA PRADESH,19,Mandsaur
29,KARNATAKA,22,Mandya
03,PUNJAB,15,Mansa *
18,ASSAM,09,Marigaon
09,UTTAR PRADESH,14,Mathura
09,UTTAR PRADESH,62,Mau
21,ORISSA,07,Mayurbhanj
28,ANDHRA PRADESH,04,Medak
09,UTTAR PRADESH,07,Meerut
06,HARYANA,20,Mewat
09,UTTAR PRADESH,69,Mirzapur
03,PUNJAB,10,Moga *
13,NAGALAND,03,Mokokchung
13,NAGALAND,01,Mon
09,UTTAR PRADESH,04,Moradabad
23,MADHYA PRADESH,02,Morena
03,PUNJAB,12,Muktsar *
10,BIHAR,24,Munger
19,WEST BENGAL,07,Murshidabad
09,UTTAR PRADESH,02,Muzaffarnagar
10,BIHAR,14,Muzaffarpur
29,KARNATAKA,26,Mysore
21,ORISSA,28,Nabarangapur  *
19,WEST BENGAL,10,Nadia
18,ASSAM,10,Nagaon
33,TAMIL NADU,19,Nagapattinam  *
08,RAJASTHAN,14,Nagaur
27,MAHARASHTRA,09,Nagpur
05,UTTARAKHAND,11,Nainital
10,BIHAR,27,Nalanda
18,ASSAM,07,Nalbari
28,ANDHRA PRADESH,08,Nalgonda
33,TAMIL NADU,09,Namakkal   *
27,MAHARASHTRA,15,Nanded
27,MAHARASHTRA,01,Nandurbar *
22,CHHATTISGARH,17,Narayanpur
24,GUJARAT,20,Narmada  *
23,MADHYA PRADESH,40,Narsimhapur
27,MAHARASHTRA,20,Nashik
24,GUJARAT,24,Navsari  *
10,BIHAR,36,Nawada
03,PUNJAB,06,Nawanshahr *
21,ORISSA,16,Nayagarh  *
23,MADHYA PRADESH,18,Neemuch *
28,ANDHRA PRADESH,19,Nellore
35,ANDAMAN & NICOBAR ISLANDS,02,Nicobar
28,ANDHRA PRADESH,02,Nizamabad
07,DELHI,02,North
11,SIKKIM,01,North
35,ANDAMAN & NICOBAR ISLANDS,03,North & Middle Andaman
18,ASSAM,20,North Cachar Hills
07,DELHI,03,North East
30,GOA,01,North Goa
16,TRIPURA,04,North Tripura
19,WEST BENGAL,11,North Twenty Four Parganas
07,DELHI,01,North West
21,ORISSA,25,Nuapada  *
27,MAHARASHTRA,29,Osmanabad
20,JHARKHAND,10,Pakaur *
32,KERALA,06,Palakkad
20,JHARKHAND,02,Palamu
08,RAJASTHAN,20,Pali
06,HARYANA,21,Palwal
24,GUJARAT,17,Panch Mahals
06,HARYANA,01,Panchkula *
06,HARYANA,07,Panipat
23,MADHYA PRADESH,10,Panna
12,ARUNACHAL PRADESH,04,Papum Pare *
27,MAHARASHTRA,17,Parbhani
10,BIHAR,01,Pashchim Champaran
20,JHARKHAND,17,Pashchimi Singhbhum
19,WEST BENGAL,15,Pashim Midnapur
24,GUJARAT,03,Patan  *
32,KERALA,12,Pathanamthitta
03,PUNJAB,17,Patiala
10,BIHAR,28,Patna
33,TAMIL NADU,16,Perambalur  *
13,NAGALAND,11,Peren
13,NAGALAND,08,Phek
09,UTTAR PRADESH,21,Pilibhit
05,UTTARAKHAND,07,Pithoragarh
34,PONDICHERRY,02,Pondicherry
24,GUJARAT,11,Porbandar  *
28,ANDHRA PRADESH,18,Prakasam
08,RAJASTHAN,33,Pratapgarh
09,UTTAR PRADESH,43,Pratapgarh
33,TAMIL NADU,22,Pudukkottai
01,JAMMU & KASHMIR,05,Pulwama
01,JAMMU & KASHMIR,11,Punch
27,MAHARASHTRA,25,Pune
10,BIHAR,02,Purba Champaran
19,WEST BENGAL,19,Purba Midnapur
20,JHARKHAND,18,Purbi Singhbhum
21,ORISSA,18,Puri
10,BIHAR,09,Purnia
19,WEST BENGAL,14,Puruliya
09,UTTAR PRADESH,28,Rae Bareli
29,KARNATAKA,06,Raichur
22,CHHATTISGARH,04,Raigarh
27,MAHARASHTRA,24,Raigarh
22,CHHATTISGARH,11,Raipur
23,MADHYA PRADESH,34,Raisen
01,JAMMU & KASHMIR,12,Rajauri
23,MADHYA PRADESH,30,Rajgarh
24,GUJARAT,09,Rajkot
22,CHHATTISGARH,09,Rajnandgaon
08,RAJASTHAN,25,Rajsamand *
29,KARNATAKA,28,Ramanagar
33,TAMIL NADU,27,Ramanathapuram
01,JAMMU & KASHMIR,18,Ramban
20,JHARKHAND,23,Ramgarh
09,UTTAR PRADESH,05,Rampur
20,JHARKHAND,14,Ranchi
28,ANDHRA PRADESH,06,Rangareddi
23,MADHYA PRADESH,20,Ratlam
27,MAHARASHTRA,32,Ratnagiri
21,ORISSA,27,Rayagada  *
01,JAMMU & KASHMIR,17,Reasi
23,MADHYA PRADESH,14,Rewa
06,HARYANA,17,Rewari
17,MEGHALAYA,05,Ri Bhoi  *
06,HARYANA,14,Rohtak
10,BIHAR,32,Rohtas
05,UTTARAKHAND,03,Rudraprayag *
03,PUNJAB,07,Rupnagar
03,PUNJAB,18,S J A S Nagar (Mohali)
24,GUJARAT,05,Sabar Kantha
23,MADHYA PRADESH,11,Sagar
09,UTTAR PRADESH,01,Saharanpur
10,BIHAR,12,Saharsa
20,JHARKHAND,09,Sahibganj
15,MIZORAM,08,Saiha *
33,TAMIL NADU,08,Salem
10,BIHAR,19,Samastipur
01,JAMMU & KASHMIR,15,Samba
21,ORISSA,03,Sambalpur
27,MAHARASHTRA,35,Sangli
03,PUNJAB,16,Sangrur
09,UTTAR PRADESH,56,Sant Kabir Nagar *
09,UTTAR PRADESH,68,Sant Ravidas Nagar Bhadohi *
10,BIHAR,17,Saran
27,MAHARASHTRA,31,Satara
23,MADHYA PRADESH,13,Satna
08,RAJASTHAN,10,Sawai Madhopur
23,MADHYA PRADESH,33,Sehore
14,MANIPUR,01,Senapati (Excluding 3 Sub-Divisions)
23,MADHYA PRADESH,44,Seoni
20,JHARKHAND,22,Seraikela-kharsawan
15,MIZORAM,05,Serchhip *
23,MADHYA PRADESH,16,Shahdol
09,UTTAR PRADESH,22,Shahjahanpur
23,MADHYA PRADESH,22,Shajapur
10,BIHAR,26,Sheikhpura *
10,BIHAR,03,Sheohar *
23,MADHYA PRADESH,01,Sheopur *
02,HIMACHAL PRADESH,11,Shimla
29,KARNATAKA,15,Shimoga
23,MADHYA PRADESH,06,Shivpuri
01,JAMMU & KASHMIR,21,Shopian
09,UTTAR PRADESH,51,Shrawasti *
18,ASSAM,16,Sibsagar
09,UTTAR PRADESH,54,Siddharthnagar
23,MADHYA PRADESH,17,Sidhi
08,RAJASTHAN,13,Sikar
20,JHARKHAND,20,Simdega
27,MAHARASHTRA,33,Sindhudurg
23,MADHYA PRADESH,50,Singrauli
02,HIMACHAL PRADESH,10,Sirmaur
08,RAJASTHAN,19,Sirohi
06,HARYANA,11,Sirsa
10,BIHAR,04,Sitamarhi
09,UTTAR PRADESH,24,Sitapur
33,TAMIL NADU,23,Sivaganga
10,BIHAR,16,Siwan
02,HIMACHAL PRADESH,09,Solan
27,MAHARASHTRA,30,Solapur
21,ORISSA,23,Sonapur  *
09,UTTAR PRADESH,70,Sonbhadra
06,HARYANA,08,Sonipat
18,ASSAM,11,Sonitpur
07,DELHI,09,South
11,SIKKIM,03,South
19,WEST BENGAL,18,South  Twenty Four Parganas
35,ANDAMAN & NICOBAR ISLANDS,01,South Andaman
17,MEGHALAYA,03,South Garo Hills *
30,GOA,02,South Goa
16,TRIPURA,02,South Tripura
07,DELHI,08,South West
28,ANDHRA PRADESH,11,Srikakulam
01,JAMMU & KASHMIR,03,Srinagar
09,UTTAR PRADESH,49,Sultanpur
21,ORISSA,05,Sundargarh
10,BIHAR,06,Supaul *
24,GUJARAT,22,Surat
24,GUJARAT,08,Surendranagar
22,CHHATTISGARH,02,Surguja
14,MANIPUR,02,Tamenglong
24,GUJARAT,26,Tapi
03,PUNJAB,20,Tarn Taran
12,ARUNACHAL PRADESH,01,Tawang
05,UTTARAKHAND,04,Tehri Garhwal
27,MAHARASHTRA,21,Thane
33,TAMIL NADU,21,Thanjavur
24,GUJARAT,23,The Dangs
33,TAMIL NADU,11,The Nilgiris
33,TAMIL NADU,25,Theni  *
33,TAMIL NADU,01,Thiruvallur
32,KERALA,14,Thiruvananthapuram
33,TAMIL NADU,20,Thiruvarur
33,TAMIL NADU,28,Thoothukkudi
14,MANIPUR,05,Thoubal
32,KERALA,07,Thrissur
23,MADHYA PRADESH,08,Tikamgarh
18,ASSAM,14,Tinsukia
12,ARUNACHAL PRADESH,13,Tirap
33,TAMIL NADU,15,Tiruchirappalli
33,TAMIL NADU,29,Tirunelveli
33,TAMIL NADU,32,Tiruppur
33,TAMIL NADU,06,Tiruvannamalai
08,RAJASTHAN,22,Tonk
13,NAGALAND,02,Tuensang
29,KARNATAKA,18,Tumkur
08,RAJASTHAN,26,Udaipur
18,ASSAM,27,Udalguri
05,UTTARAKHAND,12,Udham Singh Nagar *
01,JAMMU & KASHMIR,10,Udhampur
29,KARNATAKA,16,Udupi *
23,MADHYA PRADESH,21,Ujjain
14,MANIPUR,08,Ukhrul
23,MADHYA PRADESH,15,Umaria *
02,HIMACHAL PRADESH,07,Una
09,UTTAR PRADESH,26,Unnao
12,ARUNACHAL PRADESH,09,Upper Siang *
12,ARUNACHAL PRADESH,06,Upper Subansiri
19,WEST BENGAL,04,Uttar Dinajpur
29,KARNATAKA,10,Uttara Kannada
05,UTTARAKHAND,01,Uttarkashi
24,GUJARAT,19,Vadodara
10,BIHAR,18,Vaishali
24,GUJARAT,25,Valsad
09,UTTAR PRADESH,67,Varanasi
33,TAMIL NADU,04,Vellore
23,MADHYA PRADESH,31,Vidisha
33,TAMIL NADU,07,Viluppuram
33,TAMIL NADU,26,Virudhunagar
28,ANDHRA PRADESH,13,Visakhapatnam
28,ANDHRA PRADESH,12,Vizianagaram
28,ANDHRA PRADESH,09,Warangal
27,MAHARASHTRA,08,Wardha
27,MAHARASHTRA,06,Washim *
32,KERALA,03,Wayanad
07,DELHI,07,West
11,SIKKIM,02,West
17,MEGHALAYA,01,West Garo Hills
28,ANDHRA PRADESH,15,West Godavari
12,ARUNACHAL PRADESH,02,West Kameng
17,MEGHALAYA,04,West Khasi Hills
23,MADHYA PRADESH,27,West Nimar
12,ARUNACHAL PRADESH,07,West Siang
16,TRIPURA,01,West Tripura
13,NAGALAND,05,Wokha
29,KARNATAKA,30,Yadgir
06,HARYANA,03,Yamunanagar
27,MAHARASHTRA,14,Yavatmal
13,NAGALAND,04,Zunheboto
